,ポケモン名,オリジナルのタイプ1,オリジナルのタイプ2,HP,攻撃,防御,特攻,特防,素早,ノーマル,ほのお,みず,でんき,くさ,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,テラスタイプ
1031,チオンジェン,あく,くさ,85,85,100,95,135,70,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,どく
1032,ドラパルト,ドラゴン,ゴースト,88,120,75,100,75,142,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,かくとう
1033,ヌメイル,ドラゴン,なし,68,75,53,83,113,60,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,はがね
1034,リキキリン,ノーマル,エスパー,120,90,70,110,70,60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,かくとう
1035,デカヌチャン,フェアリー,はがね,85,75,77,70,105,94,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,ひこう
1036,キョジオーン,いわ,なし,100,100,130,45,90,35,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,ゴースト
1037,テブリム,エスパー,なし,57,40,65,86,73,49,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,フェアリー
1038,ワルビアル,じめん,あく,95,117,80,65,70,92,1.0,1.0,2.0,0.0,2.0,2.0,2.0,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,0.5,1.0,2.0,じめん
1039,バンギラス,いわ,あく,100,134,110,95,100,61,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,いわ
1040,レントラー,でんき,なし,80,120,79,95,79,70,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,じめん
1041,シャワーズ,みず,なし,130,65,60,110,95,65,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,どく
1042,カエンジシ,ほのお,ノーマル,86,68,72,109,66,106,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,0.5,0.5,こおり
1043,イーユイ,あく,ほのお,55,80,80,135,120,100,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,あく
1044,ソウブレイズ,ほのお,ゴースト,75,125,80,60,100,85,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,かくとう
1045,トドロクツキ,ドラゴン,あく,105,139,71,55,101,119,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,2.0,0.5,1.0,4.0,はがね
1046,カットロトム,でんき,くさ,50,65,107,105,107,86,1.0,2.0,0.5,0.25,0.5,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,フェアリー
1047,モトトカゲ,ドラゴン,ノーマル,70,95,65,85,65,121,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,ゴースト
1048,タイカイデン,でんき,ひこう,70,70,60,105,60,125,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,でんき
1049,キリキザン,あく,はがね,65,125,100,60,70,70,0.5,2.0,1.0,1.0,0.5,0.5,4.0,0.0,2.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,はがね
1050,ネッコアラ,ノーマル,なし,65,115,65,75,95,65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ノーマル
1051,クエスパトラ,エスパー,なし,95,60,60,101,60,105,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,エスパー
1052,ケンタロス(パルデア炎),かくとう,ほのお,75,110,105,30,70,100,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,くさ
1053,キラフロル,いわ,どく,83,55,90,130,81,86,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,くさ
1054,リククラゲ,じめん,くさ,80,70,65,80,120,100,1.0,2.0,1.0,0.0,1.0,4.0,1.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,じめん
1055,ブロロローム,はがね,どく,80,119,90,54,67,90,0.5,2.0,1.0,1.0,0.25,0.5,1.0,0.0,4.0,0.5,1.0,0.25,0.5,1.0,0.5,1.0,0.5,0.25,ひこう
1056,ドドゲザン,あく,はがね,100,135,120,60,85,50,0.5,2.0,1.0,1.0,0.5,0.5,4.0,0.0,2.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,はがね
1057,モトトカゲ,ドラゴン,ノーマル,70,95,65,85,65,121,1.0,0.5,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,フェアリー
1058,タルップル,くさ,ドラゴン,110,85,80,100,80,30,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,ひこう
1059,ブロロローム,はがね,どく,80,119,90,54,67,90,0.5,2.0,1.0,1.0,0.25,0.5,1.0,0.0,4.0,0.5,1.0,0.25,0.5,1.0,0.5,1.0,0.5,0.25,みず
1060,タギングル,どく,ノーマル,63,95,65,80,72,110,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,ゴースト
1061,ラウドボーン,ほのお,ゴースト,104,75,100,110,75,66,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,ノーマル
1062,アマージョ,くさ,なし,72,120,98,50,98,72,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,くさ
1063,バチンウニ,でんき,なし,48,101,95,91,85,15,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,ひこう
1064,バウッツェル,フェアリー,なし,57,80,115,50,80,95,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,くさ
1065,レントラー,でんき,なし,80,120,79,95,79,70,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,くさ
1066,ウェーニバル,みず,かくとう,85,120,80,85,75,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,0.5,2.0,みず
1067,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
1068,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
1069,ブリムオン,エスパー,フェアリー,57,90,95,136,103,29,1.0,1.0,1.0,1.0,1.0,1.0,0.25,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.0,1.0,2.0,1.0,ひこう
1070,キラフロル,いわ,どく,83,55,90,130,81,86,0.5,0.5,2.0,1.0,1.0,1.0,1.0,0.25,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,いわ
1071,ミミッキュ,ゴースト,フェアリー,55,90,80,50,105,96,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,2.0,0.0,1.0,2.0,1.0,フェアリー
1072,ノコッチ,ノーマル,なし,100,70,70,65,65,45,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,ゴースト
1073,テツノツツミ,こおり,みず,56,80,114,124,60,136,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,みず
1074,タギングル,どく,ノーマル,63,95,65,80,72,110,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,ノーマル
1075,ベトベトン,どく,なし,105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,どく
1076,ソウブレイズ,ほのお,ゴースト,75,125,80,60,100,85,0.0,0.5,2.0,1.0,0.5,0.5,0.0,0.5,2.0,1.0,1.0,0.25,2.0,2.0,1.0,2.0,0.5,0.5,かくとう
1077,ハルクジラ,こおり,なし,170,113,65,45,55,73,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,じめん
1078,ブラッキー,あく,なし,95,65,110,60,130,65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,どく
1079,カエンジシ,ほのお,ノーマル,86,68,72,109,66,106,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,0.5,0.5,あく
1080,ネッコアラ,ノーマル,なし,65,115,65,75,95,65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,フェアリー
1081,ドラパルト,ドラゴン,ゴースト,88,120,75,100,75,142,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,ドラゴン
1082,ドンカラス,あく,ひこう,100,125,52,105,52,71,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,あく
1083,ベトベトン,どく,なし,105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,じめん
1084,ブラッキー,あく,なし,95,65,110,60,130,65,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,どく
1085,マスカーニャ,くさ,あく,76,110,70,81,70,123,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,0.0,4.0,1.0,0.5,1.0,0.5,1.0,2.0,あく
1086,イエッサン♀,エスパー,ノーマル,70,55,65,95,105,85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,フェアリー
1087,ハバタクカミ,ゴースト,フェアリー,55,55,55,135,135,135,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.25,1.0,2.0,0.0,1.0,2.0,1.0,ノーマル
1088,ポットデス,ゴースト,なし,60,65,65,134,114,70,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,フェアリー
1089,テツノブジン,フェアリー,かくとう,74,130,90,120,60,116,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,0.25,0.5,1.0,0.0,0.25,2.0,2.0,でんき
1090,デカヌチャン,フェアリー,はがね,85,75,77,70,105,94,0.5,2.0,1.0,1.0,0.5,0.5,1.0,0.0,2.0,0.5,0.5,0.25,0.5,1.0,0.0,0.5,1.0,0.5,はがね
1091,ザングース,ノーマル,なし,73,115,60,60,60,90,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,あく
1092,オリーヴァ,くさ,ノーマル,78,69,90,125,109,39,1.0,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,ノーマル
1093,バンギラス,いわ,あく,100,134,110,95,100,61,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,はがね
1094,テツノブジン,フェアリー,かくとう,74,130,90,120,60,116,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,0.25,0.5,1.0,0.0,0.25,2.0,2.0,フェアリー
1095,ギャラドス,みず,ひこう,95,125,79,60,100,81,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,あく
1096,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,ノーマル
1097,ムクホーク,ノーマル,ひこう,85,120,70,50,60,100,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,ほのお
1098,ストリンダー(ハイ),でんき,どく,75,98,70,114,70,75,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,4.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,ノーマル
1099,ドラパルト,ドラゴン,ゴースト,88,120,75,100,75,142,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,ゴースト
0,フシギバナ,くさ,どく,80,82,83,100,100,80,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,どく
1,リザードン,ほのお,ひこう,78,84,78,109,85,100,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,くさ
2,リザードン,ほのお,ひこう,78,84,78,109,85,100,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,ほのお
3,リザードン,ほのお,ひこう,78,84,78,109,85,100,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,じめん
4,カメックス,みず,なし,79,83,100,85,105,78,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,こおり
5,ピカチュウ,でんき,なし,35,55,40,50,50,90,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,フェアリー
6,ライチュウ,でんき,なし,60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,みず
7,ライチュウ,でんき,なし,60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,でんき
8,ライチュウ,でんき,なし,60,90,55,90,80,110,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,でんき
9,プクリン,ノーマル,フェアリー,140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,ほのお
10,プクリン,ノーマル,フェアリー,140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,ほのお
11,プクリン,ノーマル,フェアリー,140,70,45,85,50,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,ほのお
12,モルフォン,むし,どく,70,65,60,90,75,90,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,じめん
13,モルフォン,むし,どく,70,65,60,90,75,90,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,はがね
14,ダグトリオ,じめん,なし,35,100,50,50,70,120,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,ほのお
15,ゴルダック,みず,なし,80,82,78,95,80,85,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,ほのお
16,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
17,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,フェアリー
18,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
19,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,こおり
20,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
21,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ひこう
22,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
23,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
24,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ひこう
25,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
26,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
27,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
28,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
29,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ほのお
30,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ほのお
31,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,くさ
32,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
33,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,フェアリー
34,ウインディ,ほのお,なし,90,110,80,100,80,95,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,ノーマル
35,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,くさ
36,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,くさ
37,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,みず
38,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,こおり
39,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,くさ
40,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,みず
41,ヤドラン,みず,エスパー,95,75,110,100,80,30,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,フェアリー
42,レアコイル,でんき,はがね,50,60,95,120,70,70,0.5,2.0,1.0,0.5,0.5,0.5,2.0,0.0,4.0,0.25,0.5,0.5,0.5,1.0,0.5,1.0,0.25,0.5,はがね
43,ベトベトン,どく,なし,105,105,75,65,100,50,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,ひこう
44,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,こおり
45,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,くさ
46,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,ゴースト
47,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,こおり
48,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,いわ
49,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,ほのお
50,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,こおり
51,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,みず
52,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,ほのお
53,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,こおり
54,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,くさ
55,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,ほのお
56,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,くさ
57,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,こおり
58,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,ほのお
59,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,ほのお
60,パルシェン,みず,こおり,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,こおり
